years;gdp;oilprice;gexp;inv
80;143343;36,83;44016;54880
81;169035;35,93;57655;63044
82;181076;32,97;72445;71487
83;203580;29,55;84825;80319
84;231010;28,78;91598;87482
85;252863;27,56;99841;92765
86;250465;14,43;101817;101333
87;260754;18,44;103977;92880
88;290039;14,92;119700;91743
89;357045;18,23;124500;115796
90;472805;23,73;136500;141876
91;752592;20;212100;215778
92;918623;19,32;420131;277973
93;1005031;16,97;476627;324134
94;1274944;15,82;566329;407545
95;1743631;17,02;759617;541826
96;2256712;20,67;724609;639447
97;2432462;19,09;845196;638119
98;2444370;12,72;875793;728754
99;2825227;17,97;961682;789789
2000;3698683;28,5;1178122;852628
2001;3754870;24,44;1321028;965462
2002;4023413;25,02;1550646;1111309
2003;4700040;28,83;1639265;1265164
2004;5545851;38,27;1888930;1476902
2005;6930153;54,52;2052037;1691640
2006;7837002;65,14;2453014;1969457
2007;8567945;72,39;3108669;2462124
2008;10002344;97,26;4191053;3228343
2009;8809620;61,67;4246334;3811419
2010;10447305;79,5;4466940;4350922
2011;12109503;111,26;5731407;4617702
